text,intent,sentiment
Complaint ID TKT4e85ad32: Poor experience with ZENDCloud VM Basic.,Complaint,Angry
Ticket TKTc11a2af5: Cannot access Postpaid Gold for individual account.,Technical,Neutral
Ticket TKT9739b085: My ZENDCloud VM Pro service in Singapore is not working.,Technical,Neutral
Issue ID TKT9d56261d: Facing problem with ZENDOffice Net 500.,Technical,Neutral
Invoice INV3ae26e5b: I was charged extra for my ZENDFleet IoT plan in India.,Billing,Neutral
Inquiry ID TKT674afd8a: Need pricing details of Postpaid Silver.,Product Inquiry,Neutral
Issue ID TKT2cfba55c: Facing problem with ZENDOffice Net 200.,Technical,Neutral
Invoice INV3b9af1be: Explain charges for ZENDOffice Net 1G under individual account.,Billing,Neutral
Inquiry TKT9dec1633: Tell me about ZENDSmart Traffic plans in India.,Product Inquiry,Happy
Invoice INVfae92baa: Explain charges for ZENDBiz Connect 500 under individual account.,Billing,Angry
Invoice INVeac9e962: My ZENDCloud VM Basic bill in Singapore seems incorrect.,Billing,Angry
Refund request TKTa6e14806: I want refund for ZENDEnterprise Ultra used in Thailand.,Refund,Neutral
Invoice INVe672ca81: I was charged extra for my Postpaid Gold plan in USA.,Billing,Angry
Ticket TKT429b48e2: My ZENDOffice Net 500 service in India is not working.,Technical,Neutral
Request TKT03166c5a: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Happy
Inquiry TKT9577159f: Tell me about ZENDCloud VM Pro plans in Thailand.,Product Inquiry,Happy
Complaint ID TKT272fe2e4: Poor experience with ZENDEnterprise Dedicated.,Complaint,Neutral
Invoice INVfa9226c6: I was charged extra for my ZENDSmart Parking plan in India.,Billing,Neutral
Refund ticket TKT8d738fa3: Why no refund for ZENDFiber Home 300 Mbps in Thailand?,Refund,Neutral
Ticket TKT3ce1f69c: My ZENDEnterprise Dedicated service in Thailand is not working.,Technical,Neutral
Ticket TKT7c55d8e2: Very frustrated with ZENDArchive Storage service.,Complaint,Angry
Complaint ID TKTa9b6b827: Poor experience with ZENDEnterprise Dedicated.,Complaint,Angry
Ticket TKTf149b89c: My ZENDOffice Net 200 service in Singapore is not working.,Technical,Angry
Ticket TKTe244ad2e: Very frustrated with ZENDOffice Net 200 service.,Complaint,Neutral
Request TKTaa5d9ec4: Does ZENDBiz Connect 1G support premium features?,Product Inquiry,Happy
Inquiry TKT6197e9dd: Tell me about ZENDFiber Home 1 Gbps plans in Singapore.,Product Inquiry,Neutral
Request TKT8ba12ab0: Does Prepaid Basic support premium features?,Product Inquiry,Happy
Invoice INVb5985d80: Explain charges for Prepaid Plus under enterprise account.,Billing,Neutral
Refund request TKTd6594129: I want refund for ZENDOffice Net 200 used in Thailand.,Refund,Neutral
Inquiry ID TKT769180cd: Need pricing details of ZENDBiz Connect 100.,Product Inquiry,Neutral
Inquiry TKT81c1223a: Tell me about Prepaid Plus plans in Thailand.,Product Inquiry,Neutral
Request TKT01376839: Does ZENDOffice Net 500 support premium features?,Product Inquiry,Neutral
Ticket TKT1502137d: My Postpaid Silver service in Singapore is not working.,Technical,Neutral
Invoice INV22d180ee: Explain charges for ZENDCloud VM Pro under enterprise account.,Billing,Neutral
Ticket TKTa6113fea: My ZENDOffice Net 500 service in Thailand is not working.,Technical,Neutral
Complaint ID TKTae0b716d: Poor experience with ZENDEnterprise Ultra.,Complaint,Neutral
Ticket TKT5cfadffb: Very frustrated with ZENDEnterprise Ultra service.,Complaint,Neutral
Complaint ID TKTe37a7b17: Poor experience with ZENDFiber Home 1 Gbps.,Complaint,Neutral
Complaint ID TKT7933fb4a: Poor experience with ZENDStorage 10TB.,Complaint,Angry
Inquiry ID TKT3379b5c7: Need pricing details of ZENDBiz Connect 100.,Product Inquiry,Happy
Invoice INV2c9e148a: Explain charges for ZENDArchive Storage under individual account.,Billing,Neutral
Ticket TKT6441c7cf: Very frustrated with ZENDBiz Connect 1G service.,Complaint,Angry
Request TKTe915a680: Does ZENDEnterprise Ultra support premium features?,Product Inquiry,Neutral
Request TKTaf64cfa4: Does ZENDCloud VM Pro support premium features?,Product Inquiry,Neutral
Invoice INV1ad533fd: I was charged extra for my ZENDCloud VM Basic plan in Thailand.,Billing,Neutral
Ticket TKTb5018f03: My ZENDCloud VM Pro service in Singapore is not working.,Technical,Neutral
Ticket TKT91611ab2: Very frustrated with ZENDEnterprise Ultra service.,Complaint,Neutral
Complaint ID TKT9fbb35d1: Poor experience with ZENDBiz Connect 500.,Complaint,Neutral
Complaint TKTc231b5c6: I am disappointed with ZENDOffice Net 1G in Thailand.,Complaint,Neutral
Complaint ID TKTc0beb2b5: Poor experience with ZENDFiber Home 100 Mbps.,Complaint,Neutral
Ticket TKTe551beb1: Very frustrated with ZENDOffice Net 1G service.,Complaint,Angry
Invoice INV9d2999bb: My ZENDFiber Home 1 Gbps bill in Singapore seems incorrect.,Billing,Neutral
Issue ID TKT30cbce5f: Facing problem with ZENDFleet IoT.,Technical,Neutral
Refund ticket TKTbced620f: Why no refund for ZENDEnterprise Dedicated in Thailand?,Refund,Neutral
Refund request TKTd3ccbee7: I want refund for ZENDSmart Parking used in Thailand.,Refund,Neutral
Ticket TKT51fc9f8d: Cannot access ZENDSmart Parking for individual account.,Technical,Neutral
Invoice INV446f787e: My Prepaid Plus bill in India seems incorrect.,Billing,Neutral
Inquiry TKT64a09424: Tell me about ZENDBiz Connect 500 plans in Singapore.,Product Inquiry,Neutral
Ticket TKTfa3e5b5d: Please process refund for ZENDEnterprise Ultra.,Refund,Neutral
Invoice INV69c78fa1: Explain charges for ZENDCloud VM Enterprise under enterprise account.,Billing,Neutral
Ticket TKT311b24a3: Please process refund for ZENDFiber Home 100 Mbps.,Refund,Neutral
Invoice INV12175836: I was charged extra for my Prepaid Basic plan in Thailand.,Billing,Neutral
Invoice INV3b3eb050: I was charged extra for my ZENDCloud VM Enterprise plan in Thailand.,Billing,Neutral
Ticket TKTe66163a0: Please process refund for ZENDEnterprise Dedicated.,Refund,Angry
Complaint ID TKT46f6699b: Poor experience with ZENDBiz Connect 1G.,Complaint,Angry
Request TKTb3cd884f: Does ZENDOffice Net 1G support premium features?,Product Inquiry,Happy
Invoice INVdcf88715: I was charged extra for my ZENDBiz Connect 1G plan in India.,Billing,Angry
Invoice INV51a4fbce: I was charged extra for my ZENDSmart Parking plan in India.,Billing,Neutral
Complaint TKT1f03c847: I am disappointed with Prepaid Plus in USA.,Complaint,Angry
Ticket TKT1f48a6b4: Very frustrated with Postpaid Platinum service.,Complaint,Angry
Request TKTcada594e: Does ZENDArchive Storage support premium features?,Product Inquiry,Happy
Invoice INV2741f41c: I was charged extra for my Prepaid Plus plan in Thailand.,Billing,Neutral
Issue ID TKTb47c8b01: Facing problem with ZENDFiber Home 1 Gbps.,Technical,Angry
Invoice INVe0efd77e: Explain charges for ZENDFleet IoT under enterprise account.,Billing,Neutral
Ticket TKT5a54f847: Cannot access ZENDSmart Lighting for enterprise account.,Technical,Neutral
Refund request TKT75910e7a: I want refund for ZENDCloud VM Enterprise used in USA.,Refund,Angry
Request TKTbcb534db: Does Postpaid Silver support premium features?,Product Inquiry,Happy
Request TKT5c0b672b: Does ZENDFleet IoT support premium features?,Product Inquiry,Happy
Invoice INVab3448b0: My ZENDEnterprise Dedicated bill in USA seems incorrect.,Billing,Angry
Inquiry TKT6fd910d6: Tell me about Postpaid Gold plans in India.,Product Inquiry,Happy
Complaint ID TKT7b34f855: Poor experience with Prepaid Plus.,Complaint,Neutral
Inquiry TKT111560a0: Tell me about Prepaid Basic plans in USA.,Product Inquiry,Happy
Complaint TKTb5d48434: I am disappointed with ZENDIndustrial Sensor in USA.,Complaint,Angry
Complaint TKT3992f2ba: I am disappointed with ZENDFleet IoT in USA.,Complaint,Angry
Complaint TKT64dda5cc: I am disappointed with Prepaid Unlimited in USA.,Complaint,Angry
Refund ticket TKT9322e5ba: Why no refund for ZENDSmart Traffic in Singapore?,Refund,Neutral
Complaint TKT754f770b: I am disappointed with ZENDStorage 1TB in Thailand.,Complaint,Angry
Ticket TKTb42fe052: Please process refund for ZENDCloud VM Basic.,Refund,Neutral
Invoice INV834fef6d: I was charged extra for my ZENDIndustrial Sensor plan in India.,Billing,Neutral
Refund ticket TKT41d673ec: Why no refund for ZENDOffice Net 1G in Thailand?,Refund,Neutral
Request TKTb9cf8e4d: Does ZENDCloud VM Basic support premium features?,Product Inquiry,Neutral
Ticket TKT9fa0c2c3: My Prepaid Unlimited service in Singapore is not working.,Technical,Neutral
Invoice INV7a5efd73: Explain charges for Postpaid Gold under enterprise account.,Billing,Neutral
Issue ID TKTc778a314: Facing problem with ZENDIndustrial Sensor.,Technical,Neutral
Invoice INVc47b29e4: Explain charges for ZENDCloud VM Basic under enterprise account.,Billing,Angry
Complaint ID TKTc80ca955: Poor experience with ZENDFiber Home 100 Mbps.,Complaint,Neutral
Complaint TKTfdc9cc1d: I am disappointed with ZENDOffice Net 200 in Thailand.,Complaint,Angry
Inquiry TKT67af4157: Tell me about ZENDCloud VM Basic plans in Singapore.,Product Inquiry,Neutral
Invoice INV46ef9119: I was charged extra for my ZENDIndustrial Sensor plan in Singapore.,Billing,Neutral
Refund ticket TKTb1a853b7: Why no refund for ZENDOffice Net 200 in Singapore?,Refund,Angry
Invoice INVa99b4794: I was charged extra for my ZENDBiz Connect 1G plan in India.,Billing,Neutral
Ticket TKT09fc35ea: Very frustrated with ZENDFiber Home 1 Gbps service.,Complaint,Angry
Request TKTe1026253: Does ZENDStorage 1TB support premium features?,Product Inquiry,Happy
Inquiry TKTc48e0199: Tell me about Prepaid Plus plans in Singapore.,Product Inquiry,Happy
Request TKTec03f57d: Does ZENDFiber Home 300 Mbps support premium features?,Product Inquiry,Neutral
Ticket TKT55586574: Cannot access ZENDFiber Home 300 Mbps for individual account.,Technical,Neutral
Invoice INV990dffef: My ZENDCloud VM Basic bill in USA seems incorrect.,Billing,Neutral
Request TKT98f10974: Does ZENDArchive Storage support premium features?,Product Inquiry,Neutral
Refund request TKT1c2c5d57: I want refund for ZENDStorage 1TB used in Thailand.,Refund,Neutral
Ticket TKTee718d81: Please process refund for ZENDEnterprise Ultra.,Refund,Neutral
Inquiry ID TKT9cea361a: Need pricing details of Postpaid Gold.,Product Inquiry,Neutral
Ticket TKTc2e0b925: My ZENDCloud VM Enterprise service in Thailand is not working.,Technical,Neutral
Ticket TKT25547fa5: Very frustrated with ZENDOffice Net 1G service.,Complaint,Neutral
Issue ID TKT8c88ec7d: Facing problem with ZENDStorage 10TB.,Technical,Neutral
Ticket TKTa54c9ae8: Very frustrated with ZENDCloud VM Enterprise service.,Complaint,Neutral
Invoice INV791773c0: Explain charges for ZENDStorage 10TB under individual account.,Billing,Neutral
Ticket TKTb943a922: Very frustrated with Postpaid Platinum service.,Complaint,Neutral
Inquiry TKT1c65dda3: Tell me about ZENDCloud VM Pro plans in USA.,Product Inquiry,Happy
Inquiry ID TKTb2828f37: Need pricing details of ZENDEnterprise Dedicated.,Product Inquiry,Neutral
Complaint ID TKT70de01e9: Poor experience with ZENDStorage 10TB.,Complaint,Neutral
Refund ticket TKT007a88a9: Why no refund for Postpaid Platinum in Singapore?,Refund,Neutral
Request TKTd5b6d2a5: Does ZENDIndustrial Sensor support premium features?,Product Inquiry,Happy
Refund ticket TKT06223a55: Why no refund for ZENDOffice Net 500 in USA?,Refund,Neutral
Request TKT297a6fa0: Does Prepaid Basic support premium features?,Product Inquiry,Happy
Inquiry TKT94bb962e: Tell me about Prepaid Basic plans in Thailand.,Product Inquiry,Happy
Ticket TKT036f1456: Please process refund for ZENDStorage 10TB.,Refund,Neutral
Issue ID TKTf8a05b4f: Facing problem with Postpaid Gold.,Technical,Neutral
Ticket TKTcadb27d9: My ZENDSmart Parking service in Thailand is not working.,Technical,Angry
Ticket TKT34628077: Please process refund for ZENDFiber Home 300 Mbps.,Refund,Neutral
Ticket TKTf88c94d4: My ZENDOffice Net 1G service in India is not working.,Technical,Neutral
Request TKTcf67c806: Does ZENDBiz Connect 100 support premium features?,Product Inquiry,Happy
Refund ticket TKT69d88a80: Why no refund for ZENDOffice Net 1G in India?,Refund,Neutral
Ticket TKTa1d0b908: Very frustrated with ZENDIndustrial Sensor service.,Complaint,Angry
Inquiry ID TKTf9c5f441: Need pricing details of ZENDBiz Connect 1G.,Product Inquiry,Neutral
Complaint ID TKTa1137eb0: Poor experience with ZENDEnterprise Ultra.,Complaint,Angry
Invoice INV8003a815: My ZENDStorage 1TB bill in Singapore seems incorrect.,Billing,Angry
Request TKTb7667cb4: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Happy
Request TKTc2cbfbc4: Does ZENDArchive Storage support premium features?,Product Inquiry,Happy
Refund ticket TKT6f0e22c1: Why no refund for ZENDBiz Connect 1G in USA?,Refund,Neutral
Invoice INV65102be5: Explain charges for ZENDOffice Net 500 under enterprise account.,Billing,Neutral
Invoice INVda3283c7: My Postpaid Gold bill in Thailand seems incorrect.,Billing,Angry
Inquiry ID TKT4be95a93: Need pricing details of ZENDFleet IoT.,Product Inquiry,Neutral
Complaint TKT16c7556c: I am disappointed with ZENDSmart Parking in USA.,Complaint,Angry
Refund ticket TKT0d52f6f9: Why no refund for ZENDStorage 10TB in Thailand?,Refund,Neutral
Issue ID TKT6bd5716b: Facing problem with ZENDArchive Storage.,Technical,Neutral
Issue ID TKT0873c27a: Facing problem with ZENDFiber Home 300 Mbps.,Technical,Angry
Complaint TKT4240412d: I am disappointed with Postpaid Silver in India.,Complaint,Angry
Invoice INV63a3cffe: Explain charges for ZENDBiz Connect 100 under enterprise account.,Billing,Neutral
Inquiry TKT96508ec6: Tell me about Prepaid Unlimited plans in Thailand.,Product Inquiry,Neutral
Invoice INV6c13c877: Explain charges for ZENDBiz Connect 1G under enterprise account.,Billing,Neutral
Refund request TKT085759d8: I want refund for ZENDFiber Home 300 Mbps used in Singapore.,Refund,Neutral
Invoice INVa825878b: My ZENDFiber Home 1 Gbps bill in India seems incorrect.,Billing,Neutral
Refund request TKT91a9374a: I want refund for ZENDOffice Net 1G used in Thailand.,Refund,Neutral
Issue ID TKTb94a7448: Facing problem with ZENDFleet IoT.,Technical,Neutral
Inquiry TKT0dfa0741: Tell me about ZENDOffice Net 500 plans in Singapore.,Product Inquiry,Neutral
Invoice INV2949f7df: My ZENDIndustrial Sensor bill in Singapore seems incorrect.,Billing,Neutral
Complaint ID TKTee93c349: Poor experience with ZENDCloud VM Pro.,Complaint,Neutral
Refund request TKTf7a7d444: I want refund for ZENDStorage 1TB used in Singapore.,Refund,Neutral
Invoice INVd181c34b: Explain charges for ZENDCloud VM Enterprise under enterprise account.,Billing,Neutral
Ticket TKTe4d5ca59: My Postpaid Gold service in India is not working.,Technical,Neutral
Refund ticket TKTc4a384a6: Why no refund for ZENDBiz Connect 100 in Thailand?,Refund,Neutral
Invoice INV202c0aac: My ZENDBiz Connect 500 bill in India seems incorrect.,Billing,Neutral
Ticket TKT7f787aff: Please process refund for ZENDEnterprise Dedicated.,Refund,Neutral
Ticket TKTcdb4dce2: Please process refund for ZENDEnterprise Ultra.,Refund,Neutral
Invoice INV61d3f959: I was charged extra for my ZENDFiber Home 100 Mbps plan in Singapore.,Billing,Angry
Invoice INV09023d46: Explain charges for ZENDIndustrial Sensor under enterprise account.,Billing,Neutral
Ticket TKT203c24cb: Cannot access ZENDSmart Lighting for enterprise account.,Technical,Angry
Ticket TKT9befeabb: Please process refund for Prepaid Plus.,Refund,Neutral
Invoice INV56618675: I was charged extra for my ZENDBiz Connect 500 plan in USA.,Billing,Neutral
Ticket TKTc14fe8e7: Please process refund for ZENDIndustrial Sensor.,Refund,Neutral
Issue ID TKTe7d9c3d7: Facing problem with Prepaid Plus.,Technical,Neutral
Issue ID TKTb60b8526: Facing problem with Prepaid Basic.,Technical,Neutral
Invoice INV80a19d33: I was charged extra for my Prepaid Basic plan in India.,Billing,Neutral
Ticket TKT9112b7e9: My ZENDSmart Traffic service in India is not working.,Technical,Angry
Refund ticket TKTb5edb514: Why no refund for ZENDFiber Home 300 Mbps in Thailand?,Refund,Neutral
Complaint TKTcbbb5093: I am disappointed with ZENDArchive Storage in USA.,Complaint,Angry
Invoice INV126a352f: Explain charges for ZENDFleet IoT under enterprise account.,Billing,Angry
Ticket TKTb3f010b3: Please process refund for ZENDFiber Home 300 Mbps.,Refund,Angry
Invoice INVac5a6ea9: I was charged extra for my Prepaid Basic plan in Thailand.,Billing,Neutral
Refund ticket TKTc706777b: Why no refund for ZENDStorage 1TB in Singapore?,Refund,Angry
Ticket TKTb177fd51: My ZENDBiz Connect 1G service in Singapore is not working.,Technical,Neutral
Inquiry TKT28beea8c: Tell me about ZENDSmart Parking plans in India.,Product Inquiry,Neutral
Ticket TKTd6fbe0e6: Very frustrated with ZENDIndustrial Sensor service.,Complaint,Neutral
Issue ID TKTde6774de: Facing problem with ZENDStorage 1TB.,Technical,Neutral
Inquiry TKT4dec12ff: Tell me about Prepaid Unlimited plans in India.,Product Inquiry,Neutral
Request TKT7392b6d2: Does ZENDBiz Connect 1G support premium features?,Product Inquiry,Happy
Invoice INV247c4460: Explain charges for ZENDIndustrial Sensor under enterprise account.,Billing,Neutral
Request TKT1dadfa30: Does ZENDBiz Connect 100 support premium features?,Product Inquiry,Happy
Inquiry TKTd17cfc41: Tell me about Postpaid Gold plans in India.,Product Inquiry,Neutral
Ticket TKT56e2e040: Cannot access ZENDSmart Lighting for enterprise account.,Technical,Neutral
Invoice INVeabc03fc: My ZENDEnterprise Ultra bill in Thailand seems incorrect.,Billing,Neutral
Refund request TKTe113dba7: I want refund for ZENDEnterprise Ultra used in Thailand.,Refund,Neutral
Ticket TKT3588c915: Very frustrated with ZENDCloud VM Pro service.,Complaint,Neutral
Request TKT1dfde4d0: Does ZENDFleet IoT support premium features?,Product Inquiry,Neutral
Complaint TKTf6c0c7d1: I am disappointed with Postpaid Platinum in Thailand.,Complaint,Angry
Ticket TKT7d583cef: Cannot access ZENDSmart Traffic for enterprise account.,Technical,Neutral
Invoice INVbeddb2fc: Explain charges for Prepaid Unlimited under enterprise account.,Billing,Neutral
Ticket TKT92beeee2: Very frustrated with ZENDFleet IoT service.,Complaint,Angry
Ticket TKT7a64468c: Cannot access ZENDArchive Storage for enterprise account.,Technical,Neutral
Invoice INVb37778af: Explain charges for ZENDBiz Connect 1G under individual account.,Billing,Neutral
Invoice INV49e0df3c: Explain charges for ZENDOffice Net 500 under individual account.,Billing,Angry
Refund ticket TKTb92534bb: Why no refund for ZENDBiz Connect 500 in Singapore?,Refund,Neutral
Complaint TKT77f0153a: I am disappointed with ZENDBiz Connect 500 in India.,Complaint,Angry
Refund request TKT99e6dd58: I want refund for Prepaid Plus used in USA.,Refund,Neutral
Invoice INVdd088151: My ZENDFiber Home 1 Gbps bill in Thailand seems incorrect.,Billing,Neutral
Ticket TKT5449a872: Very frustrated with ZENDEnterprise Ultra service.,Complaint,Angry
Refund request TKT2cf006ce: I want refund for ZENDOffice Net 1G used in Singapore.,Refund,Neutral
Ticket TKT82eefb23: Please process refund for ZENDSmart Lighting.,Refund,Angry
Issue ID TKTa554de35: Facing problem with ZENDBiz Connect 500.,Technical,Angry
Invoice INVed7c7652: Explain charges for ZENDStorage 1TB under enterprise account.,Billing,Neutral
Complaint TKTab734136: I am disappointed with ZENDBiz Connect 1G in USA.,Complaint,Neutral
Ticket TKT2c45fbea: My ZENDStorage 1TB service in India is not working.,Technical,Neutral
Invoice INV808049c4: I was charged extra for my Postpaid Gold plan in Thailand.,Billing,Neutral
Issue ID TKTcbb919aa: Facing problem with Prepaid Plus.,Technical,Angry
Inquiry TKT2bbba751: Tell me about Prepaid Plus plans in USA.,Product Inquiry,Neutral
Issue ID TKT2a813af6: Facing problem with ZENDSmart Parking.,Technical,Neutral
Ticket TKT456a8904: Please process refund for ZENDFiber Home 100 Mbps.,Refund,Neutral
Refund request TKT28fc0f3d: I want refund for ZENDOffice Net 500 used in USA.,Refund,Neutral
Ticket TKT455ee691: Cannot access ZENDCloud VM Pro for enterprise account.,Technical,Neutral
Inquiry ID TKTa9b5ba45: Need pricing details of ZENDOffice Net 1G.,Product Inquiry,Neutral
Ticket TKT85fc7a39: Please process refund for Postpaid Silver.,Refund,Neutral
Inquiry TKTf31830f8: Tell me about ZENDFiber Home 1 Gbps plans in USA.,Product Inquiry,Happy
Inquiry ID TKTa3318e4d: Need pricing details of ZENDCloud VM Pro.,Product Inquiry,Neutral
Invoice INVbd0a4b87: I was charged extra for my ZENDSmart Parking plan in Singapore.,Billing,Neutral
Complaint TKTcfc5a1f5: I am disappointed with ZENDOffice Net 500 in Thailand.,Complaint,Neutral
Complaint ID TKTb87f1cc7: Poor experience with ZENDBiz Connect 100.,Complaint,Neutral
Ticket TKT1d09270c: My ZENDSmart Parking service in Singapore is not working.,Technical,Neutral
Ticket TKT8dcb07cb: My ZENDOffice Net 200 service in Thailand is not working.,Technical,Angry
Inquiry ID TKTbdc42243: Need pricing details of ZENDEnterprise Dedicated.,Product Inquiry,Neutral
Ticket TKT99e5d13c: Please process refund for ZENDOffice Net 200.,Refund,Neutral
Invoice INV67fd81fe: I was charged extra for my Postpaid Platinum plan in Thailand.,Billing,Neutral
Request TKTa7f7af56: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Neutral
Refund ticket TKT66c13e45: Why no refund for ZENDFleet IoT in USA?,Refund,Neutral
Request TKTe440bcc0: Does ZENDBiz Connect 100 support premium features?,Product Inquiry,Neutral
Inquiry TKT49aa5230: Tell me about ZENDStorage 10TB plans in India.,Product Inquiry,Neutral
Ticket TKT8c692988: My ZENDIndustrial Sensor service in USA is not working.,Technical,Neutral
Ticket TKTe7732f14: My ZENDCloud VM Pro service in India is not working.,Technical,Neutral
Refund request TKTbdabc1f8: I want refund for ZENDEnterprise Dedicated used in USA.,Refund,Neutral
Complaint TKT89d8c576: I am disappointed with ZENDArchive Storage in USA.,Complaint,Neutral
Refund ticket TKT8c4739a8: Why no refund for ZENDStorage 10TB in India?,Refund,Neutral
Refund request TKT9a15d6e7: I want refund for Prepaid Basic used in USA.,Refund,Neutral
Invoice INV2e6d2917: I was charged extra for my ZENDFiber Home 300 Mbps plan in Thailand.,Billing,Angry
Inquiry ID TKTc12b2142: Need pricing details of ZENDArchive Storage.,Product Inquiry,Neutral
Invoice INVf99d04b5: Explain charges for ZENDFleet IoT under enterprise account.,Billing,Neutral
Invoice INVd398edd0: Explain charges for ZENDSmart Traffic under individual account.,Billing,Neutral
Refund ticket TKT3b879735: Why no refund for ZENDBiz Connect 500 in USA?,Refund,Neutral
Complaint ID TKT07d2cf3a: Poor experience with Prepaid Basic.,Complaint,Angry
Issue ID TKT41632dee: Facing problem with ZENDSmart Traffic.,Technical,Neutral
Issue ID TKT8b579b5f: Facing problem with ZENDCloud VM Basic.,Technical,Neutral
Request TKT99ae2a83: Does ZENDEnterprise Ultra support premium features?,Product Inquiry,Neutral
Complaint TKT251be603: I am disappointed with ZENDBiz Connect 500 in Thailand.,Complaint,Neutral
Request TKT046ede8d: Does ZENDSmart Traffic support premium features?,Product Inquiry,Neutral
Inquiry ID TKTda09120e: Need pricing details of ZENDBiz Connect 1G.,Product Inquiry,Happy
Inquiry TKTad0c20c9: Tell me about ZENDArchive Storage plans in USA.,Product Inquiry,Neutral
Inquiry ID TKTf3409d18: Need pricing details of ZENDFiber Home 1 Gbps.,Product Inquiry,Neutral
Ticket TKTee00e57e: My ZENDBiz Connect 500 service in India is not working.,Technical,Angry
Request TKTca78836d: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Happy
Refund ticket TKT352fb054: Why no refund for ZENDOffice Net 500 in Singapore?,Refund,Angry
Ticket TKTd37659af: Please process refund for ZENDCloud VM Pro.,Refund,Neutral
Request TKT2655ca78: Does ZENDEnterprise Ultra support premium features?,Product Inquiry,Neutral
Refund ticket TKT9d097ea3: Why no refund for Postpaid Platinum in Thailand?,Refund,Neutral
Invoice INV09b3daff: My ZENDEnterprise Dedicated bill in USA seems incorrect.,Billing,Angry
Refund ticket TKTf98e038f: Why no refund for ZENDFiber Home 1 Gbps in USA?,Refund,Neutral
Issue ID TKT43f5de40: Facing problem with ZENDBiz Connect 100.,Technical,Neutral
Request TKT54612100: Does ZENDCloud VM Basic support premium features?,Product Inquiry,Neutral
Complaint TKT15d9e304: I am disappointed with ZENDEnterprise Ultra in USA.,Complaint,Neutral
Inquiry TKT08904d13: Tell me about ZENDEnterprise Ultra plans in Singapore.,Product Inquiry,Neutral
Refund request TKT82283b29: I want refund for ZENDIndustrial Sensor used in Thailand.,Refund,Neutral
Invoice INV803ff89c: My ZENDCloud VM Enterprise bill in India seems incorrect.,Billing,Angry
Refund ticket TKT1e378501: Why no refund for ZENDOffice Net 200 in Singapore?,Refund,Neutral
